INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,,,,,Occur_Time,Time_of_Day,0:00,6:00
213188086,5/17/2020,23:42:00,QUEENS,101,0,,FALSE,25-44,M,BLACK,18-24,M,BLACK,1051960,160392,40.60666486,-73.7561496,POINT (-73.75614960299998 40.606664855000076),,,,,23:42,Evening,,
214431170,6/19/2020,21:45:00,BRONX,43,0,,FALSE,,,,25-44,M,BLACK,1019548,238106,40.82015932,-73.87247098,POINT (-73.87247098199998 40.82015932200005),,,,,21:45,Evening,,
208437742,1/23/2020,14:00:00,MANHATTAN,30,0,,TRUE,18-24,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,996329,238263,40.82065251,-73.95636013,POINT (-73.95636012799997 40.820652506000044),,,,,14:00,Afternoon,,
214694695,6/27/2020,17:30:00,MANHATTAN,23,0,,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC,999812,225719,40.78621722,-73.94380515,POINT (-73.94380515399996 40.78621722200006),,,,,17:30,Afternoon,,
211362503,3/21/2020,0:13:00,MANHATTAN,7,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,989667,212965,40.75122284,-73.98045027,POINT (-73.98045027299997 40.751222840000025),,,,,0:13,Pre-Dawn Morning,,
213885924,6/5/2020,20:20:00,BROOKLYN,75,0,GROCERY/BODEGA,FALSE,18-24,M,BLACK,25-44,M,BLACK,1013511,181454,40.6646859,-73.89452887,POINT (-73.89452887499993 40.66468589900006),,,,,20:20,Evening,,
209974086,2/22/2020,6:05:00,QUEENS,108,0,BAR/NIGHT CLUB,FALSE,,,,25-44,M,WHITE HISPANIC,999366,212838,40.750863,-73.94544468,POINT (-73.94544468299995 40.75086299700007),,,,,6:05,Morning,,
213819785,6/3/2020,16:55:00,BRONX,41,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1012551,236626,40.81612233,-73.89775712,POINT (-73.89775711899995 40.81612232700007),,,,,16:55,Afternoon,,
212640530,5/2/2020,19:50:00,QUEENS,114,0,,FALSE,,,,18-24,M,WHITE HISPANIC,1009645,213978,40.75396846,-73.90834136,POINT (-73.90834136499996 40.753968462000046),,,,,19:50,Evening,,
206931573,1/3/2020,17:30:00,BRONX,44,0,,FALSE,,,,18-24,M,WHITE HISPANIC,1008669,246692,40.84376219,-73.91174515,POINT (-73.91174515299997 40.84376218800003),,,,,17:30,Afternoon,,
210709521,3/8/2020,5:00:00,MANHATTAN,9,2,MULTI DWELL - PUBLIC HOUS,FALSE,45-64,M,BLACK,<18,M,WHITE HISPANIC,990324,202686,40.7230091,-73.97808829,POINT (-73.97808828999996 40.723009095000066),,,,,5:00,Pre-Dawn Morning,,
211219385,3/18/2020,22:17:00,BROOKLYN,73,0,,FALSE,,,,18-24,M,BLACK,1008575,181362,40.66444832,-73.91232122,POINT (-73.91232122399998 40.66444831500007),,,,,22:17,Evening,,
211512576,3/26/2020,21:49:00,STATEN ISLAND,120,0,,FALSE,,,,18-24,M,BLACK,950233,171448,40.63720462,-74.12256674,POINT (-74.12256673799999 40.63720462200007),,,,,21:49,Evening,,
210025099,2/24/2020,16:55:00,STATEN ISLAND,120,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,BLACK,961833,166710,40.62423677,-74.08075553,POINT (-74.08075553299994 40.624236772000074),,,,,16:55,Afternoon,,
213187656,5/16/2020,0:50:00,QUEENS,103,0,,FALSE,,,,18-24,M,WHITE HISPANIC,1042298,192835,40.69578215,-73.79066712,POINT (-73.79066712199995 40.695782146000056),,,,,0:50,Pre-Dawn Morning,,
213921487,6/5/2020,0:31:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK,998205,190419,40.68933015,-73.94968145,POINT (-73.94968144799998 40.68933015300007),,,,,0:31,Pre-Dawn Morning,,
213778871,6/2/2020,18:05:00,BROOKLYN,67,0,,TRUE,,,,45-64,M,BLACK,1006872,177464,40.65375368,-73.91847281,POINT (-73.91847281299994 40.65375368100007),,,,,18:05,Evening,,
214694691,6/27/2020,3:05:00,BROOKLYN,73,0,,FALSE,,,,25-44,M,BLACK,1009317,183094,40.6692002,-73.90964022,POINT (-73.90964022299994 40.669200199000045),,,,,3:05,Pre-Dawn Morning,,
213499453,5/25/2020,0:40:00,BRONX,46,0,,FALSE,,,,18-24,F,BLACK HISPANIC,1006160,248680,40.84922524,-73.9208068,POINT (-73.92080679799994 40.849225244000024),,,,,0:40,Pre-Dawn Morning,,
210527845,3/4/2020,14:39:00,BROOKLYN,73,0,,FALSE,,,,25-44,M,BLACK,1009011,183273,40.66969238,-73.91074263,POINT (-73.91074262999996 40.66969237500007),,,,,14:39,Afternoon,,
213748382,6/1/2020,23:38:00,MANHATTAN,18,0,,FALSE,,,,25-44,M,BLACK,991012,215386,40.75786695,-73.97559343,POINT (-73.97559342999995 40.757866945000046),,,,,23:38,Evening,,
209747703,2/18/2020,11:17:00,BRONX,47,0,GROCERY/BODEGA,TRUE,18-24,M,BLACK,18-24,M,WHITE,1021937,260565,40.88179269,-73.86371338,POINT (-73.86371337599996 40.88179268700003),,,,,11:17,Morning,,
209281503,2/9/2020,2:27:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,25-44,M,BLACK,1004960,234094,40.80919375,-73.92518927,POINT (-73.92518927399993 40.809193751000066),,,,,2:27,Pre-Dawn Morning,,
210707459,3/8/2020,20:00:00,BROOKLYN,81,0,,FALSE,,,,25-44,M,BLACK,1002041,186214,40.67778151,-73.93586041,POINT (-73.93586041499998 40.677781508000066),,,,,20:00,Evening,,
214431179,6/20/2020,1:59:00,BRONX,44,0,,FALSE,25-44,M,BLACK,18-24,F,WHITE HISPANIC,1010025,246298,40.84267692,-73.90684575,POINT (-73.90684575199998 40.84267692000003),,,,,1:59,Pre-Dawn Morning,,
214432033,6/20/2020,21:00:00,BRONX,46,0,,FALSE,,,,18-24,M,WHITE HISPANIC,1010372,251078,40.85579558,-73.90557301,POINT (-73.90557300699999 40.85579558300003),,,,,21:00,Evening,,
214438143,6/22/2020,3:02:00,MANHATTAN,32,0,COMMERCIAL BLDG,FALSE,,,,25-44,U,BLACK,1000393,239187,40.82318213,-73.94167471,POINT (-73.94167471199995 40.823182133000046),,,,,3:02,Pre-Dawn Morning,,
213471605,5/23/2020,3:51:00,QUEENS,103,0,,FALSE,,,,25-44,M,WHITE HISPANIC,1038389,189258,40.68598891,-73.80479256,POINT (-73.80479256499996 40.685988905000045),,,,,3:51,Pre-Dawn Morning,,
214229823,6/14/2020,2:55:00,BRONX,44,0,,FALSE,,,,<18,M,BLACK,1004928,245385,40.84018441,-73.92527007,POINT (-73.92527007399997 40.84018440800003),,,,,2:55,Pre-Dawn Morning,,
213471606,5/24/2020,23:30:00,BRONX,46,0,,FALSE,,,,25-44,F,WHITE HISPANIC,1011143,252027,40.85839799,-73.90278211,POINT (-73.90278211299994 40.858397988000036),,,,,23:30,Evening,,
211066101,3/14/2020,12:21:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,1017184,179927,40.66048172,-73.88129686,POINT (-73.88129685699994 40.66048172400008),,,,,12:21,Afternoon,,
212903273,5/9/2020,19:23:00,MANHATTAN,28,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,996343,231877,40.80312469,-73.95632105,POINT (-73.95632104999999 40.80312469200004),,,,,19:23,Evening,,
212904807,5/10/2020,19:27:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,WHITE HISPANIC,45-64,F,WHITE HISPANIC,993514,197321,40.70828069,-73.96658712,POINT (-73.96658711699996 40.70828068800006),,,,,19:27,Evening,,
214468086,6/22/2020,22:50:00,BROOKLYN,71,0,,FALSE,,,,25-44,M,BLACK,999349,180852,40.66306902,-73.94557776,POINT (-73.94557775899995 40.663069018000044),,,,,22:50,Evening,,
214574798,6/25/2020,3:12:00,BROOKLYN,63,0,PVT HOUSE,FALSE,,,,25-44,F,BLACK,1005120,167717,40.62700456,-73.92481708,POINT (-73.92481708399998 40.627004560000046),,,,,3:12,Pre-Dawn Morning,,
213974312,6/8/2020,22:40:00,BROOKLYN,73,0,,FALSE,,,,<18,M,BLACK,1009279,179175,40.65844352,-73.90979175,POINT (-73.90979175299998 40.658443523000074),,,,,22:40,Evening,,
210706803,3/7/2020,3:00:00,QUEENS,100,0,,FALSE,25-44,M,BLACK,45-64,F,BLACK,1040584,155310,40.59279545,-73.79716152,POINT (-73.79716152399999 40.59279544900005),,,,,3:00,Pre-Dawn Morning,,
213386282,5/21/2020,1:09:00,MANHATTAN,28,0,,FALSE,,,,18-24,M,BLACK,997911,232850,40.80579303,-73.95065539,POINT (-73.95065539299998 40.80579302500007),,,,,1:09,Pre-Dawn Morning,,
210156782,2/27/2020,0:38:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,UNKNOWN,1047439,156663,40.59646293,-73.77246641,POINT (-73.77246640899995 40.596462931000076),,,,,0:38,Pre-Dawn Morning,,
214513456,6/23/2020,23:38:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,999113,214335,40.75497231,-73.9463545,POINT (-73.94635450299995 40.754972311000074),,,,,23:38,Evening,,
207815718,1/11/2020,22:37:00,BRONX,44,0,,TRUE,25-44,M,BLACK,25-44,M,BLACK,1010044,244313,40.83722862,-73.90678472,POINT (-73.90678471699994 40.83722861900003),,,,,22:37,Evening,,
207824248,1/13/2020,3:51:00,QUEENS,115,0,,FALSE,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1022705,215793,40.75890302,-73.86119261,POINT (-73.86119260999999 40.75890301700008),,,,,3:51,Pre-Dawn Morning,,
214693794,6/28/2020,3:23:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,F,BLACK,999849,193276,40.69716921,-73.94374677,POINT (-73.94374677499997 40.69716921200006),,,,,3:23,Pre-Dawn Morning,,
214183639,6/12/2020,23:00:00,BRONX,47,0,,FALSE,,,,18-24,M,BLACK,1021731,263219,40.88907796,-73.86444348,POINT (-73.86444348399993 40.88907795500006),,,,,23:00,Evening,,
214264816,6/16/2020,0:30:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,WHITE HISPANIC,25-44,M,BLACK,998684,229230,40.79585589,-73.94787095,POINT (-73.94787095499998 40.79585588600003),,,,,0:30,Pre-Dawn Morning,,
